secid,exdate,0
108130,20180427,40.93489060702267
108130,20180727,36.61265849359367
108130,20181026,31.86080763567938
108186,20180126,147.2501581104403
108186,20180427,136.57670579171074
108186,20180727,159.51565581962973
108186,20181026,158.43503467850664
108226,20180420,97.96603856489708
108226,20180720,98.81831705832111
108226,20181019,97.62689978904874
108231,20180126,316.350014137658
108231,20180427,355.36155217746165
108231,20180727,324.5277644206984
108231,20181026,310.4456509180988
108275,20180216,68.49956803079866
108279,20180202,67.4741880541387
108279,20180420,62.768309695972334
108279,20180720,64.04078685805264
108279,20181019,61.524319990097936
108321,20180209,232.1604411608525
108321,20180511,237.36697734886178
108321,20180817,255.1987586926358
108321,20181116,209.58964765600692
108385,20180216,69.7958430804538
108385,20180511,76.94418244886978
108385,20180810,82.7326507985501
108385,20181109,68.06668468329114
108425,20180209,34.96482476506527
108425,20180504,31.17581402747871
108425,20180803,28.51245217130796
108425,20181102,20.874415252925118
108448,20180216,66.2134916739113
108463,20180302,57.585618947058684
108463,20180504,59.84508201101817
108463,20180803,68.94468712281906
108463,20181102,64.24825997428178
108505,20180323,51.24543910648188
108505,20180622,43.438024582068536
108505,20180921,48.75247789420252
108505,20181221,46.635380002807736
108561,20180216,40.01101750922114
108578,20180615,89.11775697970019
108602,20180316,5.970149253731343
108609,20180209,40.88600915010571
108609,20180504,45.659356001068076
108609,20180727,41.233287901618446
108609,20181109,46.941479439900455
108645,20180119,116.0052350803474
108645,20180420,109.49703746166168
108645,20180720,102.14041273342467
108645,20181019,94.73759563324006
108738,20180511,60.12718325432714
108738,20180810,42.165507696956524
108738,20181109,53.62536862709262
108767,20180216,
108769,20180518,
108769,20180817,
108787,20180216,66.97694162166509
108804,20181221,65.18288863390119
108849,20180302,3.8651256592237706
108849,20180518,1.8643602358261477
108849,20180817,1.8728222692710341
108849,20181116,0.8793895933747085
108871,20180119,18.592188176451952
108871,20180420,19.426259541223164
108871,20180720,18.944339795879852
108871,20181019,17.703067539042078
108893,20180216,110.43299224261933
108893,20180427,100.04251119193869
108893,20180713,109.13653899437706
108893,20181005,111.5656394481265
108912,20180316,
108916,20180302,88.40568076857728
108916,20180511,76.61061225231322
108916,20180810,77.32214291331698
108916,20181109,71.28115255559912
108948,20180202,38.36155902935944
108948,20180504,36.12133631938677
108948,20180803,37.28030524224267
108948,20181102,41.18758771919812
108949,20180316,6.741595671195028
108965,20180202,70.73505651399442
108965,20180427,57.05674982634142
108965,20180727,56.54028020905937
108965,20181026,61.862665652722974
108995,20180216,6.571491118338754
109006,20180420,2.9091339327969727
109006,20181221,1.8730158730158801
109021,20180119,51.22767582675825
109021,20180420,61.79127114143939
109021,20180720,58.05775983073695
109021,20181019,54.050141096000694
109042,20180216,
109072,20180309,1.6727856590084627
109072,20180511,0.6985582367802077
109072,20180810,3.602509060146826
109072,20181109,
109182,20180302,1898.1950991570613
109224,20180126,91.02771925777384
109224,20180420,76.54902337160004
109224,20180803,80.0160197549079
109224,20181019,77.75308027146629
109297,20180202,34.0837745681857
109297,20180427,27.657428007207134
109297,20180727,30.897342828194176
109297,20181026,21.56762711151304
109348,20180202,67.33589633583661
109348,20180427,51.13296548105424
109348,20180727,57.51189347511977
109348,20181109,63.91391674298645
109371,20180420,97.3234037624779
109404,20180817,
109409,20180316,
