TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
02J0,18579,05352A10,20190620,20220331,1
02J7,18734,83088V10,20190620,20210720,1
02K5,18735,39874R10,20190718,20220331,1
02KP,18771,15912K10,20190815,20220331,1
02KS,18769,00650F10,20190815,20220331,1
02KV,18784,88339P10,20190815,20220331,1
02MI,18886,26815010,20190919,20220331,1
02ND,18940,70614W10,20190926,20220331,1
02NT,18908,88025U10,20191017,20220331,1
02OE,18907,83192H10,20191017,20220331,1
02OI,18909,18915M10,20191017,20220331,1
02OP,18910,29415F10,20191017,20220331,1
AA,24643,02224910,19760115,19990103,1
AA,24643,01381710,19990114,20161005,1
AA,24643,01381750,20161020,20161031,1
AA,24643,03965L10,20161117,20200331,1
AA,24643,44320110,20200416,20220331,1
AA0A,10656,00444610,20010517,20190402,1
AA0A,,,20190418,20220630,6
AA0V,10547,00185310,20010517,20080101,1
AA0V,10547,18482P10,20080117,20220331,1
AA10,87832,02077210,20010517,20220331,1
AA1N,84606,29873610,20010517,20220331,1
AA2E,88790,04269X10,20010517,20190729,1
AA2Z,32299,38137010,20010517,20191231,1
AA30,88615,97223210,20010517,20050630,1
AA30,88615,39153L10,20050714,20160630,1
AA30,88615,45826H10,20160714,20220331,1
AA3E,11499,12514110,20010517,20220331,1
AA3G,84302,25386210,20010517,20180101,1
AA3G,84302,26140E10,20180118,20190314,1
AA3G,84302,26140E50,20190418,20190805,1
AA3G,84302,26140E60,20190815,20210118,1
AA3G,84302,05150X10,20210218,20211212,1
AA3G,84302,09175M10,20211216,20220331,1
AA3O,83642,15140810,20010517,20140630,1
AA3O,83642,20786W10,20140717,20220331,1
AA4U,85176,23337740,20010517,20220331,1
AA51,85418,13303410,20010517,20220331,1
AA5G,79166,37386510,20010517,20220331,1
AAAF,80795,02343610,20011220,20220331,1
AAGD,13124,51680610,20120216,20200513,1
AAGD,13124,51680620,20200602,20220331,1
AAIC,11731,01234810,19870930,20220331,1
AAOI,14145,03823U10,20131114,20220331,1
AAON,76868,00036020,19940217,20220331,1
AAPL,14593,03783310,19810820,20220331,1
AAPS,89217,00751Y10,20020117,20220331,1
AAVL,14790,05337G10,20140918,20160511,1
AAVL,14790,00773U10,20160519,20220331,1
ABAX,77279,00256710,19920319,20180731,1
ABBV,13721,00287Y10,20130102,20220331,1
ABCB,80498,00040010,19941215,20051208,1
ABCB,80498,03076K10,20051215,20220331,1
ABD,75107,00365410,19881117,20220331,1
ABDW,90825,00081T10,20050818,20220331,1
ABFS,77595,04079010,19920618,20140430,1
ABFS,77595,03937C10,20140515,20220331,1
ABGG,89327,04343610,20020418,20220331,1
ABK,76757,02313910,19910815,20101108,1
ABK,,,20101216,20130717,6
ABK,13919,02313988,20130718,20220331,1
ABM,47730,02475310,19780720,19940316,1
ABM,47730,00095710,19940414,20220331,1
ABT,20482,00282410,19760115,20220331,1
ABTL,86763,05275N10,19990520,20120711,1
ABTL,86763,05275N20,20120719,20171008,1
ABTL,86763,05335B10,20171019,20220331,1
ABX,,,20030918,20040519,6
ABX,90716,00080S10,20050509,20080515,1
ABX,90716,00922R10,20080619,20220331,1
ACAD,85631,05276910,19860116,20220331,1
ACCO,59248,21701610,19760617,20050208,1
ACCO,59248,60871R20,20050217,20220331,1
ACDI,90177,00422510,20040617,20220331,1
ACEN,,,20020117,20070314,6
ACEN,13704,64049M20,20121210,20220331,1
ACHN,91491,00448Q20,20061026,20200127,1
ACI/1,16436,03938040,20161020,20200513,1
ACI/1,16436,03940R10,20200515,20220331,1
ACIA,16051,00401C10,20160616,20210226,1
ACLS,88417,05454010,20000817,20160630,1
ACLS,88417,05454020,20160714,20220331,1
ACLY,84184,00430420,19961219,20121225,1
ACLY,84184,00430H10,20130117,20220331,1
ACMG,91975,00766T10,20070517,20220331,1
ACQ,92234,02149U10,20070816,20090731,1
ACQ,,,20090820,20141119,6
ACQ,15540,05580M10,20150716,20160801,1
ACRD,91086,00484M10,20060216,20210103,1
ACRD,91086,00484M60,20210114,20220331,1
ACRI,83730,00388110,19980514,20021213,1
ACRI,89611,00388130,20041118,20220331,1
ACRX,12573,00444T10,20110317,20220331,1
ACTE,91348,02081G10,20060602,20160824,1
ACTE,91348,02081G20,20160915,20220331,1
ACV,42083,01306810,19780720,20061116,1
ACV,42083,01307810,20061214,20110510,1
ACXT,78117,00512310,19930114,20000521,1
ACXT,78117,38869010,20000615,20030808,1
ACXT,89810,38868810,20040318,20080310,1
ACXT,89810,38868910,20080320,20220331,1
ADBE,75510,00724F10,19861016,20220331,1
ADDY,89215,00174410,20011220,20220331,1
ADHD,13918,M2239P10,20130718,20171115,1
ADHD,13918,M1492T10,20171116,20190612,1
ADHD,13918,03969T10,20200220,20220331,1
ADI,60871,03265410,19760115,20220331,1
ADM,10516,03948310,19760715,20220331,1
ADMA,15056,00089910,20141110,20220331,1
ADMG,10363,00753P10,19870618,20070724,1
ADMG,10363,00163U10,20070816,20201113,1
ADRO,15282,00739L10,20150514,20201001,1
ADRO,15282,16961L10,20201015,20220331,1
ADSW,16435,00790X10,20161020,20201029,1
ADTN,80791,00738A10,19940915,20220331,1
ADUS,93073,00673910,20091119,20220331,1
ADXS,14237,00762420,20131017,20190328,1
ADXS,14237,00762430,20190418,20211222,1
AEI,89946,02567620,20031218,20220331,1
AEIS,82547,00797310,19960118,20220331,1
AEL,29102,03505410,19801217,19860827,1
AEL,29102,03505310,19860918,19890306,1
AEL,29102,62956810,19890316,20020625,1
AEL,29102,G6359F10,20020718,20200422,1
AEL,29102,G6359F13,20201217,20220331,1
AEOS,80432,02553D10,19940519,19990407,1
AEOS,80432,02553E10,19990415,20220331,1
AEP,24109,02553710,19760115,20220331,1
AERI,14238,00771V10,20131219,20220331,1
AESC,76712,00130H10,19920116,20220331,1
AET,46850,00814010,19760115,19960721,1
AET,46850,00811710,19960815,20001213,1
AET,88845,00817Y10,20010118,20181128,1
AFIWI,15956,04238R10,20160414,20220331,1
AFIWI,,,20220616,,6
AFL,57904,02587010,19760415,19920101,1
AFL,57904,00105510,19920116,20220331,1
AFSI,91603,03235930,20061116,20181128,1
AGCO,77520,00108410,19921119,20220331,1
AGEN,87583,03703210,20000316,20110105,1
AGEN,87583,00847G10,20110217,20111002,1
AGEN,87583,00847G70,20111020,20220331,1
AGFS,14590,00856G10,20160218,20220331,1
AGIO,14044,00847X10,20130919,20220331,1
AGLE,16005,00773J10,20160519,20220331,1
AGTC,14528,03820J10,20140515,20220331,1
AHA,45911,02075310,19790920,20020625,1
AHA,45911,83088M10,20020718,20220331,1
AHC,28484,02355110,19760115,20060508,1
AHC,28484,42809H10,20060518,20220331,1
AHCW,92528,00128210,20080214,20201231,1
AHH,93369,00438V10,20100520,20170131,1
AHH,93369,74939710,20170216,20220331,1
AIG,66800,02687410,19760115,20090630,1
AIG,66800,02687478,20090716,20220331,1
AIMC,91658,02208R10,20070118,20220331,1
AIR,54594,00036110,19760219,20220331,1
AIR1,86489,81616X10,19990114,20171031,1
AIR1,86489,83125X10,20171116,20220331,1
AIRG,16247,00938A10,20160915,20220331,1
AIZI,90038,04621X10,20040219,20220331,1
AJGC,38093,36357610,19841018,20220331,1
AJGC,,,20220616,,6
