TICKER,PERMNO,ANNDATS,RET,PRC,VOL,RET_1,PRC_1
AAON,76868.0,20180503.0,-0.063609,31.65,368386.0,-0.063191,29.65
AAON,76868.0,20210225.0,,,,,
AAON,76868.0,20220505.0,,,,,
AAON,76868.0,20190801.0,0.020866,51.86,244455.0,-0.101427,46.6
AAON,76868.0,20180227.0,0.081119,38.65,850940.0,-0.049159,36.75
AAPL,14593.0,20200430.0,0.021096,293.79999,45665290.0,-0.016099,289.07001
AAPL,14593.0,20210727.0,,,,,
AAPL,14593.0,20180731.0,0.002001,190.28999,39413440.0,0.058910,201.5
AAPL,14593.0,20180501.0,0.023236,169.10001,53548117.0,0.044175,176.57001
AAPL,14593.0,20211028.0,,,,,
AAPL,14593.0,20190430.0,-0.019256,200.67,46544289.0,0.049086,210.52
AAPL,14593.0,20191030.0,-0.000123,243.25999,31078874.0,0.022610,248.75999
AAPL,14593.0,20181101.0,0.015352,222.22,58331798.0,-0.066331,207.48
AAPL,14593.0,20190730.0,-0.004292,208.78,33896655.0,0.020404,213.03999
AAPL,14593.0,20220428.0,,,,,
AAPL,14593.0,20210428.0,,,,,
AAPL,14593.0,20201029.0,0.037050,115.32,146025301.0,-0.056018,108.86
AAPL,14593.0,20190129.0,-0.010365,154.67999,41582339.0,0.068335,165.25
AAPL,14593.0,20200128.0,0.028289,317.69,40519265.0,0.020932,324.34
AAPL,14593.0,20220728.0,,,,,
AAPL,14593.0,20210127.0,,,,,
AAPL,14593.0,20200730.0,0.012100,384.76001,39436618.0,0.104689,425.04001
AAPL,14593.0,20180201.0,0.002090,167.78,47231571.0,-0.043390,160.5
AAPL,14593.0,20220127.0,,,,,
ABAX,77279.0,20180125.0,-0.009682,64.44,291505.0,0.174891,75.71
ABAX,77279.0,20180426.0,0.030200,73.0,160937.0,-0.090959,66.36
ABBV,13721.0,20220202.0,,,,,
ABBV,13721.0,20190125.0,-0.062180,80.54,21348670.0,-0.042215,77.14
ABBV,13721.0,20190425.0,0.008517,79.34,10442915.0,0.004537,79.7
ABBV,13721.0,20191101.0,0.027656,81.75,13356251.0,0.015168,82.99
ABBV,13721.0,20200207.0,0.058614,92.29,19090317.0,0.026655,94.75
ABBV,13721.0,20201030.0,0.054915,85.1,18095146.0,0.037015,88.25
ABBV,13721.0,20210203.0,,,,,
ABBV,13721.0,20200731.0,-0.011766,94.91,14614332.0,0.010852,95.94
ABBV,13721.0,20180727.0,-0.035980,90.56,12906016.0,0.009828,91.45
ABBV,13721.0,20181102.0,-0.008104,79.56,12781547.0,0.037959,82.58
ABBV,13721.0,20211029.0,,,,,
ABBV,13721.0,20220429.0,,,,,
ABBV,13721.0,20210730.0,,,,,
ABBV,13721.0,20180126.0,0.137673,123.21,19614480.0,-0.007305,122.31
ABBV,13721.0,20210430.0,,,,,
ABBV,13721.0,20220729.0,,,,,
ABBV,13721.0,20180426.0,0.060629,97.44,12594414.0,0.013239,98.73
ABBV,13721.0,20190726.0,0.016502,67.76,12259324.0,-0.008560,67.18
ABBV,13721.0,20200501.0,0.007786,82.84,12705345.0,-0.011830,81.86
ABCB,80498.0,20210722.0,,,,,
ABCB,80498.0,20180727.0,-0.025074,49.575,332991.0,-0.022693,48.45
ABCB,80498.0,20190125.0,0.035157,36.51,855355.0,0.030129,37.61
ABCB,80498.0,20220726.0,,,,,
ABCB,80498.0,20201022.0,0.052803,29.11,573663.0,0.001031,29.14
ABCB,80498.0,20211028.0,,,,,
ABCB,80498.0,20220127.0,,,,,
ABCB,80498.0,20190726.0,0.034070,39.76,546566.0,-0.012827,39.25
ABCB,80498.0,20190423.0,0.014093,35.26,583744.0,0.003687,35.39
ABCB,80498.0,20191018.0,0.006509,41.75,633217.0,0.002395,41.85
ABCB,80498.0,20220426.0,,,,,
ABCB,80498.0,20210422.0,,,,,
ABCB,80498.0,20200123.0,-0.001632,42.83,393535.0,-0.028952,41.59
ABCB,80498.0,20210128.0,,,,,
ABCB,80498.0,20200423.0,-0.009103,21.77,360102.0,0.034451,22.52
ABCB,80498.0,20200727.0,-0.009491,22.96,700994.0,0.021342,23.45
ABCB,80498.0,20180420.0,-0.009488,52.2,268155.0,-0.001916,52.1
ABCB,80498.0,20181019.0,0.008356,43.44,512787.0,-0.020488,42.55
ABCB,80498.0,20180126.0,0.026193,54.85,296592.0,0.004558,55.1
ABCB,80498.0,20210722.0,,,,,
ABCB,80498.0,20180727.0,-0.025074,49.575,332991.0,-0.022693,48.45
ABCB,80498.0,20190125.0,0.035157,36.51,855355.0,0.030129,37.61
ABCB,80498.0,20220726.0,,,,,
ABCB,80498.0,20201022.0,0.052803,29.11,573663.0,0.001031,29.14
ABCB,80498.0,20211028.0,,,,,
ABCB,80498.0,20220127.0,,,,,
ABCB,80498.0,20190726.0,0.034070,39.76,546566.0,-0.012827,39.25
ABCB,80498.0,20190423.0,0.014093,35.26,583744.0,0.003687,35.39
ABCB,80498.0,20191018.0,0.006509,41.75,633217.0,0.002395,41.85
ABCB,80498.0,20220426.0,,,,,
ABCB,80498.0,20210422.0,,,,,
ABCB,80498.0,20200123.0,-0.001632,42.83,393535.0,-0.028952,41.59
ABCB,80498.0,20210128.0,,,,,
ABCB,80498.0,20200423.0,-0.009103,21.77,360102.0,0.034451,22.52
ABCB,80498.0,20200727.0,-0.009491,22.96,700994.0,0.021342,23.45
ABCB,80498.0,20180420.0,-0.009488,52.2,268155.0,-0.001916,52.1
ABCB,80498.0,20181019.0,0.008356,43.44,512787.0,-0.020488,42.55
ABCB,80498.0,20180126.0,0.026193,54.85,296592.0,0.004558,55.1
ABM,47730.0,20210608.0,,,,,
ABM,47730.0,20211215.0,,,,,
ABM,47730.0,20210908.0,,,,,
ABM,47730.0,20181218.0,0.043177,27.06,949905.0,0.137472,30.78
ABM,47730.0,20180606.0,0.010101,29.0,1665353.0,0.109655,32.18
ABM,47730.0,20190306.0,0.014714,36.55,797936.0,-0.081532,33.57
ABM,47730.0,20200908.0,-0.043830,36.65,313742.0,0.051296,38.53
ABM,47730.0,20190605.0,-0.008511,37.28,584943.0,0.067060,39.78
ABM,47730.0,20220308.0,,,,,
ABM,47730.0,20190905.0,0.019645,37.37,471982.0,-0.054322,35.34
ABM,47730.0,20200304.0,0.034767,35.12,501359.0,-0.001708,35.06
ABM,47730.0,20220608.0,,,,,
ABM,47730.0,20191218.0,0.014293,37.61,734286.0,0.035895,38.96
ABM,47730.0,20201216.0,-0.018491,40.34,354041.0,0.006693,40.61
ABM,47730.0,20210309.0,,,,,
ABM,47730.0,20180306.0,0.018852,35.67,688311.0,0.017382,36.29
ABM,47730.0,20200617.0,-0.046600,32.53,844032.0,0.199816,39.03
ABM,47730.0,20220909.0,,,,,
ABM,47730.0,20180906.0,-0.011905,31.54,580393.0,0.070070,33.75
ABM,47730.0,20210608.0,,,,,
ABM,47730.0,20211215.0,,,,,
ABM,47730.0,20210908.0,,,,,
ABM,47730.0,20181218.0,0.043177,27.06,949905.0,0.137472,30.78
ABM,47730.0,20180606.0,0.010101,29.0,1665353.0,0.109655,32.18
ABM,47730.0,20190306.0,0.014714,36.55,797936.0,-0.081532,33.57
ABM,47730.0,20200908.0,-0.043830,36.65,313742.0,0.051296,38.53
ABM,47730.0,20190605.0,-0.008511,37.28,584943.0,0.067060,39.78
ABM,47730.0,20220308.0,,,,,
ABM,47730.0,20190905.0,0.019645,37.37,471982.0,-0.054322,35.34
ABM,47730.0,20200304.0,0.034767,35.12,501359.0,-0.001708,35.06
ABM,47730.0,20220608.0,,,,,
ABM,47730.0,20191218.0,0.014293,37.61,734286.0,0.035895,38.96
ABM,47730.0,20201216.0,-0.018491,40.34,354041.0,0.006693,40.61
ABM,47730.0,20210309.0,,,,,
ABM,47730.0,20180306.0,0.018852,35.67,688311.0,0.017382,36.29
ABM,47730.0,20200617.0,-0.046600,32.53,844032.0,0.199816,39.03
ABM,47730.0,20220909.0,,,,,
ABM,47730.0,20180906.0,-0.011905,31.54,580393.0,0.070070,33.75
ABT,20482.0,20220420.0,,,,,
ABT,20482.0,20180418.0,-0.004682,59.52,12648456.0,0.006048,59.88
ABT,20482.0,20210722.0,,,,,
ABT,20482.0,20180124.0,0.042040,61.72,11704949.0,0.024303,63.22
ABT,20482.0,20200416.0,0.055641,96.0,27036533.0,0.000104,96.01
ABT,20482.0,20200716.0,-0.003412,96.4,7582201.0,0.029564,99.25
ABT,20482.0,20201021.0,-0.022425,105.93,5716007.0,0.033513,109.48
ABT,20482.0,20191016.0,-0.002440,81.78,10764635.0,0.007337,82.38
ABT,20482.0,20200122.0,0.023738,91.86,9841587.0,-0.012301,90.73
ABT,20482.0,20181017.0,-0.010148,70.23,11014686.0,-0.029759,68.14
ABT,20482.0,20220126.0,,,,,
ABT,20482.0,20180718.0,0.031051,64.75,10650555.0,-0.014981,63.78
ABT,20482.0,20210127.0,,,,,
ABT,20482.0,20210420.0,,,,,
ABT,20482.0,20190717.0,0.031265,85.76,9381371.0,0.023321,87.76
ABT,20482.0,20190417.0,-0.045824,72.88,11212434.0,0.014270,73.92
ABT,20482.0,20190123.0,-0.022101,69.91,10196466.0,0.013589,70.86
ABT,20482.0,20220720.0,,,,,
ABT,20482.0,20211020.0,,,,,
ABX,90716.0,20180725.0,0.007888,23.0,202736.0,-0.002174,22.95
ABX,90716.0,20180214.0,-0.025399,23.79,883339.0,0.002102,23.84
ABX,90716.0,20190213.0,-0.002861,24.4,553926.0,-0.009426,24.17
ABX,90716.0,20181024.0,-0.075832,18.89,371398.0,0.020117,19.27
ABX,90716.0,20180423.0,-0.000949,21.06,335042.0,-0.016144,20.72
ABX,90716.0,20180725.0,0.007888,23.0,202736.0,-0.002174,22.95
ABX,90716.0,20180214.0,-0.025399,23.79,883339.0,0.002102,23.84
ABX,90716.0,20190213.0,-0.002861,24.4,553926.0,-0.009426,24.17
ABX,90716.0,20181024.0,-0.075832,18.89,371398.0,0.020117,19.27
ABX,90716.0,20180423.0,-0.000949,21.06,335042.0,-0.016144,20.72
ACAD,85631.0,20191030.0,0.021911,148.78,1112809.0,-0.009544,147.36
ACAD,85631.0,20180504.0,0.014577,129.46001,1800073.0,0.016298,131.57001
ACAD,85631.0,20181106.0,0.001498,133.7,869669.0,0.039043,138.92
ACAD,85631.0,20220504.0,,,,,
ACAD,85631.0,20201104.0,-0.009746,245.89,2762398.0,0.040791,255.92
ACAD,85631.0,20200805.0,0.013756,243.2,1289157.0,0.001521,243.57001
ACAD,85631.0,20210804.0,,,,,
ACAD,85631.0,20200226.0,0.021100,190.67,2843784.0,-0.052552,180.64999
ACAD,85631.0,20220228.0,,,,,
ACAD,85631.0,20180227.0,-0.006842,116.12,1657773.0,0.011626,117.47
ACAD,85631.0,20220808.0,,,,,
ACAD,85631.0,20190501.0,-0.023792,173.97,1290392.0,-0.003506,173.36
ACAD,85631.0,20200507.0,0.015284,184.0,1627699.0,0.001576,184.28999
ACAD,85631.0,20211108.0,,,,,
ACAD,85631.0,20190731.0,-0.025703,156.17,1673133.0,-0.017289,153.47
ACAD,85631.0,20210505.0,,,,,
ACAD,85631.0,20180808.0,-0.007767,134.14,994700.0,0.007231,135.11
ACAD,85631.0,20190226.0,-0.003843,163.31,1575831.0,0.005940,164.28
ACAD,85631.0,20210224.0,,,,,
ACCO,59248.0,20200211.0,0.003631,58.05,1890600.0,-0.043928,55.5
ACCO,59248.0,20210728.0,,,,,
ACCO,59248.0,20180214.0,0.062748,80.45,3886394.0,0.016035,81.74
ACCO,59248.0,20180501.0,0.006176,71.68,3497524.0,-0.154018,60.64
ACCO,59248.0,20220215.0,,,,,
ACCO,59248.0,20220426.0,,,,,
ACCO,59248.0,20210427.0,,,,,
ACCO,59248.0,20220808.0,,,,,
ACCO,59248.0,20190213.0,0.008278,59.68,4930548.0,0.002681,59.84
ACCO,59248.0,20181030.0,0.028627,58.21,4770835.0,0.099467,64.0
ACCO,59248.0,20210216.0,,,,,
ACCO,59248.0,20201027.0,-0.030677,33.81,1961746.0,-0.026619,32.91
ACCO,59248.0,20190730.0,0.007255,56.92,1510721.0,-0.051476,53.99
ACCO,59248.0,20200728.0,0.004703,36.32,2113194.0,0.011289,36.73
ACCO,59248.0,20211026.0,,,,,
ACCO,59248.0,20190502.0,0.009604,59.92,1902041.0,0.024199,61.37
ACCO,59248.0,20191029.0,0.002199,54.69,3482493.0,-0.030901,53.0
ACCO,59248.0,20200504.0,-0.018756,38.19,2930886.0,-0.019639,37.44
ACCO,59248.0,20180731.0,0.003445,67.0,4246018.0,0.034776,69.33
ACCO,59248.0,20200211.0,0.003631,58.05,1890600.0,-0.043928,55.5
ACCO,59248.0,20210728.0,,,,,
ACCO,59248.0,20180214.0,0.062748,80.45,3886394.0,0.016035,81.74
ACCO,59248.0,20180501.0,0.006176,71.68,3497524.0,-0.154018,60.64
ACCO,59248.0,20220215.0,,,,,
ACCO,59248.0,20220426.0,,,,,
ACCO,59248.0,20210427.0,,,,,
ACCO,59248.0,20220808.0,,,,,
ACCO,59248.0,20190213.0,0.008278,59.68,4930548.0,0.002681,59.84
ACCO,59248.0,20181030.0,0.028627,58.21,4770835.0,0.099467,64.0
ACCO,59248.0,20210216.0,,,,,
ACCO,59248.0,20201027.0,-0.030677,33.81,1961746.0,-0.026619,32.91
ACCO,59248.0,20190730.0,0.007255,56.92,1510721.0,-0.051476,53.99
ACCO,59248.0,20200728.0,0.004703,36.32,2113194.0,0.011289,36.73
ACCO,59248.0,20211026.0,,,,,
ACCO,59248.0,20190502.0,0.009604,59.92,1902041.0,0.024199,61.37
ACCO,59248.0,20191029.0,0.002199,54.69,3482493.0,-0.030901,53.0
ACCO,59248.0,20200504.0,-0.018756,38.19,2930886.0,-0.019639,37.44
ACCO,59248.0,20180731.0,0.003445,67.0,4246018.0,0.034776,69.33
ACHN,91491.0,20191107.0,0.006339,6.35,1207414.0,0.001575,6.36
ACHN,91491.0,20180808.0,-0.019531,2.51,320089.0,0.079681,2.71
ACHN,91491.0,20190808.0,0.085586,4.82,2093923.0,-0.029046,4.68
ACHN,91491.0,20180502.0,-0.023810,3.69,1810101.0,-0.037940,3.55
ACHN,91491.0,20190307.0,-0.003745,2.66,1053629.0,0.011278,2.69
